"transect_ID","river","habitat_detailed","habitat_detailed_2","distance_to_river_mouth","habitat_main","species_name","date","total_count","total_tree_volume","total_visible_tree_volume"
"tree_1","Mbalageti","Tree Mbalageti Mid","Mbalageti Mid","Mid","Trees","Pied kingfisher",2025-02-12,16,12706.9568856073,6640.73782106627
"tree_1","Mbalageti","Tree Mbalageti Mid","Mbalageti Mid","Mid","Trees","Pied kingfisher",2025-02-19,13,12706.9568856073,6640.73782106627
"tree_1","Mbalageti","Tree Mbalageti Mid","Mbalageti Mid","Mid","Trees","Pied kingfisher",2025-03-10,26,12706.9568856073,6640.73782106627
"tree_1","Mbalageti","Tree Mbalageti Mid","Mbalageti Mid","Mid","Trees","Pied kingfisher",2025-03-14,19,12706.9568856073,6640.73782106627
"tree_1","Mbalageti","Tree Mbalageti Mid","Mbalageti Mid","Mid","Trees","Pied kingfisher",2025-04-09,13,12706.9568856073,6640.73782106627
"tree_1","Mbalageti","Tree Mbalageti Mid","Mbalageti Mid","Mid","Trees","Pied kingfisher",2025-04-17,17,12706.9568856073,6640.73782106627
"tree_2","Mbalageti","Tree Mbalageti Mid","Mbalageti Mid","Mid","Trees","Pied kingfisher",2025-02-12,2,13184.478968953,6700.82078056618
"tree_2","Mbalageti","Tree Mbalageti Mid","Mbalageti Mid","Mid","Trees","Pied kingfisher",2025-02-19,3,13184.478968953,6700.82078056618
"tree_2","Mbalageti","Tree Mbalageti Mid","Mbalageti Mid","Mid","Trees","Pied kingfisher",2025-03-10,12,13184.478968953,6700.82078056618
"tree_2","Mbalageti","Tree Mbalageti Mid","Mbalageti Mid","Mid","Trees","Pied kingfisher",2025-03-14,12,13184.478968953,6700.82078056618
"tree_2","Mbalageti","Tree Mbalageti Mid","Mbalageti Mid","Mid","Trees","Pied kingfisher",2025-04-09,11,13184.478968953,6700.82078056618
"tree_2","Mbalageti","Tree Mbalageti Mid","Mbalageti Mid","Mid","Trees","Pied kingfisher",2025-04-17,11,13184.478968953,6700.82078056618
"tree_3","Robana","Tree Robana Mid","Robana Mid","Mid","Trees","Pied kingfisher",2025-02-12,27,26121.5575164357,13588.3699744801
"tree_3","Robana","Tree Robana Mid","Robana Mid","Mid","Trees","Pied kingfisher",2025-02-19,26,26121.5575164357,13588.3699744801
"tree_3","Robana","Tree Robana Mid","Robana Mid","Mid","Trees","Pied kingfisher",2025-02-20,27,26121.5575164357,13588.3699744801
"tree_3","Robana","Tree Robana Mid","Robana Mid","Mid","Trees","Pied kingfisher",2025-03-10,23,26121.5575164357,13588.3699744801
"tree_3","Robana","Tree Robana Mid","Robana Mid","Mid","Trees","Pied kingfisher",2025-03-14,21,26121.5575164357,13588.3699744801
"tree_3","Robana","Tree Robana Mid","Robana Mid","Mid","Trees","Pied kingfisher",2025-04-09,38,26121.5575164357,13588.3699744801
"tree_3","Robana","Tree Robana Mid","Robana Mid","Mid","Trees","Pied kingfisher",2025-04-17,21,26121.5575164357,13588.3699744801
"tree_4","Robana","Tree Robana Mid","Robana Mid","Mid","Trees","Pied kingfisher",2025-02-12,16,15395.3747989168,8176.97662867168
"tree_4","Robana","Tree Robana Mid","Robana Mid","Mid","Trees","Pied kingfisher",2025-02-19,27,15395.3747989168,8176.97662867168
"tree_4","Robana","Tree Robana Mid","Robana Mid","Mid","Trees","Pied kingfisher",2025-02-20,30,15395.3747989168,8176.97662867168
"tree_4","Robana","Tree Robana Mid","Robana Mid","Mid","Trees","Pied kingfisher",2025-03-10,37,15395.3747989168,8176.97662867168
"tree_4","Robana","Tree Robana Mid","Robana Mid","Mid","Trees","Pied kingfisher",2025-03-14,38,15395.3747989168,8176.97662867168
"tree_4","Robana","Tree Robana Mid","Robana Mid","Mid","Trees","Pied kingfisher",2025-04-09,39,15395.3747989168,8176.97662867168
"tree_4","Robana","Tree Robana Mid","Robana Mid","Mid","Trees","Pied kingfisher",2025-04-16,26,15395.3747989168,8176.97662867168
"tree_5","Robana","Tree Robana Mouth","Robana Mouth","Mouth","Trees","Pied kingfisher",2025-02-12,96,14421.4810763039,7408.66087532813
"tree_5","Robana","Tree Robana Mouth","Robana Mouth","Mouth","Trees","Pied kingfisher",2025-02-13,90,14421.4810763039,7408.66087532813
"tree_5","Robana","Tree Robana Mouth","Robana Mouth","Mouth","Trees","Pied kingfisher",2025-02-20,107,14421.4810763039,7408.66087532813
"tree_5","Robana","Tree Robana Mouth","Robana Mouth","Mouth","Trees","Pied kingfisher",2025-03-09,69,14421.4810763039,7408.66087532813
"tree_5","Robana","Tree Robana Mouth","Robana Mouth","Mouth","Trees","Pied kingfisher",2025-03-14,66,14421.4810763039,7408.66087532813
"tree_5","Robana","Tree Robana Mouth","Robana Mouth","Mouth","Trees","Pied kingfisher",2025-04-10,56,14421.4810763039,7408.66087532813
"tree_5","Robana","Tree Robana Mouth","Robana Mouth","Mouth","Trees","Pied kingfisher",2025-04-16,70,14421.4810763039,7408.66087532813
"tree_6","Robana","Tree Robana Mouth","Robana Mouth","Mouth","Trees","Pied kingfisher",2025-02-13,11,2835.28736986479,2266.26640048334
"tree_6","Robana","Tree Robana Mouth","Robana Mouth","Mouth","Trees","Pied kingfisher",2025-02-20,16,2835.28736986479,2266.26640048334
"tree_6","Robana","Tree Robana Mouth","Robana Mouth","Mouth","Trees","Pied kingfisher",2025-03-09,16,2835.28736986479,2266.26640048334
"tree_6","Robana","Tree Robana Mouth","Robana Mouth","Mouth","Trees","Pied kingfisher",2025-03-14,21,2835.28736986479,2266.26640048334
"tree_6","Robana","Tree Robana Mouth","Robana Mouth","Mouth","Trees","Pied kingfisher",2025-03-15,19,2835.28736986479,2266.26640048334
"tree_6","Robana","Tree Robana Mouth","Robana Mouth","Mouth","Trees","Pied kingfisher",2025-04-10,24,2835.28736986479,2266.26640048334
"tree_6","Robana","Tree Robana Mouth","Robana Mouth","Mouth","Trees","Pied kingfisher",2025-04-16,23,2835.28736986479,2266.26640048334
"tree_7","Robana","Tree Robana Far","Robana Far","Far","Trees","Pied kingfisher",2025-02-13,48,7846.91305050391,3954.87245178785
"tree_7","Robana","Tree Robana Far","Robana Far","Far","Trees","Pied kingfisher",2025-02-20,35,7846.91305050391,3954.87245178785
"tree_7","Robana","Tree Robana Far","Robana Far","Far","Trees","Pied kingfisher",2025-02-21,50,7846.91305050391,3954.87245178785
"tree_7","Robana","Tree Robana Far","Robana Far","Far","Trees","Pied kingfisher",2025-03-09,61,7846.91305050391,3954.87245178785
"tree_7","Robana","Tree Robana Far","Robana Far","Far","Trees","Pied kingfisher",2025-03-10,32,7846.91305050391,3954.87245178785
"tree_7","Robana","Tree Robana Far","Robana Far","Far","Trees","Pied kingfisher",2025-03-15,49,7846.91305050391,3954.87245178785
"tree_7","Robana","Tree Robana Far","Robana Far","Far","Trees","Pied kingfisher",2025-04-10,36,7846.91305050391,3954.87245178785
"tree_7","Robana","Tree Robana Far","Robana Far","Far","Trees","Pied kingfisher",2025-04-16,9,7846.91305050391,3954.87245178785
"tree_8","Robana","Tree Robana Far","Robana Far","Far","Trees","Pied kingfisher",2025-02-13,27,6854.95517013293,3726.91063486174
"tree_8","Robana","Tree Robana Far","Robana Far","Far","Trees","Pied kingfisher",2025-02-21,37,6854.95517013293,3726.91063486174
"tree_8","Robana","Tree Robana Far","Robana Far","Far","Trees","Pied kingfisher",2025-03-09,39,6854.95517013293,3726.91063486174
"tree_8","Robana","Tree Robana Far","Robana Far","Far","Trees","Pied kingfisher",2025-03-10,33,6854.95517013293,3726.91063486174
"tree_8","Robana","Tree Robana Far","Robana Far","Far","Trees","Pied kingfisher",2025-03-15,34,6854.95517013293,3726.91063486174
"tree_8","Robana","Tree Robana Far","Robana Far","Far","Trees","Pied kingfisher",2025-04-10,34,6854.95517013293,3726.91063486174
"tree_8","Robana","Tree Robana Far","Robana Far","Far","Trees","Pied kingfisher",2025-04-16,23,6854.95517013293,3726.91063486174
